,PipelineName,SegmentName,Status,StartLocation,EndLocation,Capacity,CapacityUnits,StartState/Province,EndState/Province,WKTFormat
2529,Ningxia Gas Pipeline Network,Hangjinqi-Yinchuan Gas Pipeline,Operating,Hanggin,,2.5,bcm/y,Inner Mongolia,Ningxia,"LINESTRING (108.810472 39.61288, 107.270398 39.201772, 106.695724 38.80532, 106.353957 38.54564, 106.329356 38.468798, 106.110757 38.456894)"
2533,China–Russia East Pipeline,,Operating,Changling,Yongqing,38,bcm/y,Jilin,Hebei,"LINESTRING (123.644593 43.35972, 123.485958 43.01, 123.482845 42.692, 123.21549 42.202526, 123.009965 41.939341, 122.783013 41.748038, 121.588552 41.209804, 121.038195 40.946362, 120.407741 40.39688, 119.736811 40.123637, 119.535858 40.037061, 118.104915 39.755959, 116.926286 39.473163, 116.555529 39.30201, 116.51979 39.297164)"
2534,China–Russia East Pipeline,Phase II,Operating,Changling,Yongqing,38,bcm/y,Jilin,Hebei,"LINESTRING (123.644593 43.35972, 123.485958 43.01, 123.482845 42.692, 123.21549 42.202526, 123.009965 41.939341, 122.783013 41.748038, 121.588552 41.209804, 121.038195 40.946362, 120.407741 40.39688, 119.736811 40.123637, 119.535858 40.037061, 118.104915 39.755959, 116.926286 39.473163, 116.555529 39.30201, 116.51979 39.297164)"
2535,China–Russia East Pipeline,Phase I,Operating,Heihe,Changling,38,bcm/y,Heilongjiang,Jilin,"LINESTRING (127.529918 50.24344, 127.36687 50.196359, 126.659306 48.69307, 125.989514 47.168844, 125.279008 46.043012, 124.872457 45.662499, 124.330183 44.574754, 123.882838 44.247906, 123.911035 43.957154, 123.644593 43.35972)"
2537,China–Russia East Pipeline,Phase III,Construction,Yongqing,Baihe,38,bcm/y,Hebei,Shanghai,"MULTILINESTRING ((116.51979 39.297164, 115.429023 38.301166, 116.2313 37.312918, 116.681208 36.498398, 116.9239 36.197698, 117.485926 35.67347, 118.5942 35.216156, 119.001141 34.484422, 119.895192 33.472684, 120.112919 33.142031, 120.209131 32.138724, 120.952551 32.262236, 121.066638 31.721365, 120.861347 31.304153, 121.131321 31.266851), (124.330183 44.574754, 125.413804 44.148949))"
2547,Zhongwei-Guiyang Connecting Gas Pipeline,Trunk line,Operating,Zhongwei,,15,bcm/y,Ningxia,Guizhou,"LINESTRING (105.147714 37.459796, 106.223081 36.007314, 105.848106 32.427166, 106.053578 31.357051, 106.300149 30.346809, 106.040075 29.903573, 106.934188 27.729828, 106.545545 26.311174)"
2576,Hebei-Nanjing Connecting Gas Pipeline,Trunk line,Operating,Qingshan Town,Anping,10,bcm/y,Jiangsu,Hebei,"LINESTRING (119.087956 32.257451, 119.113755 33.631253, 118.19251 33.915439, 117.975417 34.298979, 117.25242 34.782436, 117.127351 35.094705, 116.908014 35.551475, 116.92396 36.1983, 116.82381 36.936466, 116.246672 37.457455, 115.42929 38.300838)"
2577,Inner Mongolia Gas Pipeline Network,Hulunbuir Segment,Proposed,Longjiang,,0.75,bcm/y,Heilongjiang,Inner Mongolia,"LINESTRING (127.36687 50.196359, 119.7711 49.2072)"
2594,Inner Mongolia Gas Pipeline Network,Malian Lake-Zhongwei Gas Pipeline,Operating,,,0.13,bcm/y,Inner Mongolia,Shaanxi,--
2601,Inner Mongolia Gas Pipeline Network,Baotou-Linhe Gas Pipeline,Proposed,,,0.39,bcm/y,Inner Mongolia,Ningxia,"LINESTRING (109.79761 40.668264, 107.441267 40.752779)"
2611,Jilin Gas Pipeline Network,Songyuan–Baicheng–Ulanhot Gas Pipeline,Proposed,Qianguo County,,0.58,bcm/y,Jilin,Inner Mongolia,"LINESTRING (124.786273 45.195823, 122.862874 45.636504, 122.14117 46.091979)"
2617,Hohot-Zhangjiakou-Yanqing Gas Pipeline,Jining–Yanqing Segment,Proposed,Saihan,,2,bcm/y,Inner Mongolia,Beijing,"LINESTRING (111.733556 40.683851, 112.19391 40.922272, 113.378938 40.957598, 114.900897 40.62296, 115.980539 40.510484)"
2618,Hohot-Zhangjiakou-Yanqing Gas Pipeline,Saihan–Jining Segment,Operating,Saihan,,2,bcm/y,Inner Mongolia,Beijing,"LINESTRING (111.733556 40.683851, 112.19391 40.922272, 113.378938 40.957598, 114.900897 40.62296, 115.980539 40.510484)"
2619,CNPC Sichuan & Chongqing Gas Pipeline Network,,Operating,,,30,bcm/y,Sichuan,Chongqing,"MULTILINESTRING ((104.8929977 31.7866993, 104.9520035 31.2919006, 104.5439987 31.1716995, 104.4029999 30.8929005, 104.3539963 30.3642998, 104.3280029 29.9057007, 104.3259964 29.7525005, 104.487999 29.6266003, 104.6159973 29.5209007, 104.7429962 29.2360992, 105.177002 28.6679001, 105.2519989 28.6539001, 105.2519989 28.6257992, 105.8460007 28.6716003, 105.9869995 28.7203007, 106.2409973 29.0013008, 106.2799988 29.2213001, 106.4990005 29.6159, 107.0820007 29.8630009, 107.2200012 30.1823006, 107.5630035 30.5685005, 107.8339996 30.8526993, 108.038002 31.0356998, 108.0569992 31.3456993, 106.8730011 31.4081993, 106.0920029 31.3318005, 105.5270004 31.1928005, 105.1080017 31.0674, 104.4899979 31.0559006), (108.0559998 31.3451996, 108.3899994 30.7787991, 108.1210022 30.3234005, 107.5699997 30.5788994, 106.9199982 30.7677994, 106.8730011 31.4120007), (107.2220001 30.1854992, 106.9199982 30.7672005, 106.8840027 30.6917992, 106.5770035 30.4601994, 105.7050018 30.3239002, 104.3550034 30.3684006, 104.1139984 30.4181995, 104.1139984 30.5214005, 104.2419968 30.6334991, 104.2809982 30.8973999, 104.4039993 30.8943005, 105.435997 30.8647995, 105.7610016 30.7695999, 106.9189987 30.7900009), (104.1139984 30.4204998, 104.1139984 30.2968998, 104.3300018 29.9232006), (104.4710007 28.6079006, 104.6080017 28.6648998, 104.9069977 28.5741997, 105.1809998 28.6648998, 105.552002 28.7891006, 105.8190002 28.7555008, 106.0839996 29.0116005, 106.2549973 29.0907993, 106.6340027 29.2872009, 107.0240021 29.5818996, 107.0810013 29.8623009))"
2622,Tianjin Gas Pipeline Network,Tianjin Nangang LNG Transport Pipeline (Nangang-Beijing),Construction,Tianjin Nangang LNG,,4.5,bcm/y,Tianjin,Beijing,"LINESTRING (117.714095 38.738256, 117.091654 38.79484, 116.946275 38.764233, 116.674562 39.305859, 116.601945 39.468417, 116.673414 39.641752)"
2623,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 1,Operating,Yongqing,Nangang,3.1,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2624,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 2,Operating,Yongqing,Nangang,6.3,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2625,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 3,Operating,Yongqing,Nangang,9.05,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2628,Tianjin Gas Pipeline Network,Tianjin LNG Terminal Transport Pipeline,Operating,Tianjin Port,Tangshan/Cangzhou,13.6,bcm/y,Tianjin,Hebei,"LINESTRING (117.709045 38.745837, 117.549993 38.752153, 116.947444 38.777992, 116.943492 39.422038, 117.002744 38.319473, 116.947444 38.777992, 117.312465 38.041477, 117.339356 37.757364, 117.777065 37.33959, 117.81639 37.012677)"
2629,Tianjin Gas Pipeline Network,Tianjin LNG Terminal Transport Pipeline Parallel Line,Proposed,Tianjin Port,Huanghua/Cangzhou,11,bcm/y,Tianjin,Hebei,"LINESTRING (117.709045 38.745837, 117.549993 38.752153, 117.191976 38.545502, 117.002744 38.319473)"
2671,Shanxi Gas Pipeline Network,Duanshi–Jincheng–Bo'ai Gas Pipeline,Operating,Duanshi,Bo'ai,2,bcm/y,Shanxi,Henan,"LINESTRING (112.5183184675677 35.6689263282523, 112.852 35.491, 113.066667 35.175)"
2672,Shanxi Gas Pipeline Network,Ji County-Yanchang gas pipeline Phase I,Construction,Ji County,Yanchang,3.3,bcm/y,Shanxi,Shaanxi,--
2699,Sichuan–Shanghai Gas Pipeline,Huangmei-Jiujiang branch,Operating,,,3,bcm/y,Hubei,Jiangxi,--
2707,Sichuan–Shanghai Gas Pipeline,Trunk line,Operating,Dazhou,Qingpu District,12,bcm/y,Sichuan,Shanghai,"MULTILINESTRING ((115.0128325 35.7625622, 111.2684464 30.6967334), (111.2684464 30.6967334, 107.7859754 30.6635054, 107.7366234 31.2560813), (111.2684464 30.6967334, 115.9266904 30.0803014, 115.5917534 30.3849233, 120.7366014 30.7318574, 121.4578744 31.2310573), (107.7859754 30.6635054, 107.0578354 29.8560273), (115.9266904 30.0803014, 115.8971234 29.6200904), (115.5917534 30.3849233, 119.5301414 31.7430483, 118.7586044 32.0070063), (120.7366014 30.7318574, 120.6019844 31.2670213))"
