,Inner Mongolia,Heilongjiang,Jilin,Liaoning,Gansu,Ningxia,Qinghai,Shaanxi,Xinjiang,Beijing,Hebei,Shandong,Shanxi,Tianjin,Chongqing,Guizhou,Sichuan,Tibet,Guangdong,Guangxi,Hainan,Yunnan,Henan,Hubei,Hunan,Jiangxi,Anhui,Fujian,Jiangsu,Shanghai,Zhejiang
Inner Mongolia,0.0,0,0,0,0.0,2.89,0,0.13,0,8.379999999999999,20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Heilongjiang,0.75,0,38,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Jilin,0.58,0,0,0,0.0,0.0,0,0.0,0,0.0,76.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Liaoning,2.33,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Gansu,0.0,0,0,0,0.0,3.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Ningxia,0.0,0,0,0,0.0,0.0,0,30.0,0,0.0,0.0,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Qinghai,0.0,0,0,0,5.3,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,1.2,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Shaanxi,0.0,0,0,0,1.0,1.08,0,0.0,0,56.0,5.0,3.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Xinjiang,0.0,0,0,0,0.0,100.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,60,0.0,0,0,0,0.0,0.0,0,0.0,85.0,0.0,17,0.0
Beijing,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,18.51,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
