,Inner Mongolia,Heilongjiang,Jilin,Liaoning,Gansu,Ningxia,Qinghai,Shaanxi,Xinjiang,Beijing,Hebei,Shandong,Shanxi,Tianjin,Chongqing,Guizhou,Sichuan,Tibet,Guangdong,Guangxi,Hainan,Yunnan,Henan,Hubei,Hunan,Jiangxi,Anhui,Fujian,Jiangsu,Shanghai,Zhejiang
Inner Mongolia,0.0,1418.245064,1137.108665,969.999049,940.08799,669.235643,1409.691985,872.717789,1962.309639,451.53583,531.685916,732.914096,445.52285,554.672663,1440.830991,1755.204239,1413.71297,2225.67532,2079.037183,2134.936913,2427.421427,2037.782315,802.838283,1271.032672,1517.213227,1509.644992,1213.890558,1851.881442,1302.305682,1472.268744,1494.131442
Heilongjiang,1418.245064,0.0,464.888496,741.514693,2353.495883,2078.410185,2807.832826,2158.452086,3095.635141,1249.863325,1461.829012,1507.913721,1645.460596,1273.454285,2715.270833,2977.013017,2759.679948,3639.514265,3017.239373,3259.204216,3454.08116,3337.235774,1851.514052,2220.968788,2512.694998,2348.684092,1971.482349,2543.61959,1867.372744,1911.300531,2045.015696
Jilin,1137.108665,464.888496,0.0,281.716395,2030.581669,1755.030131,2545.733632,1768.659434,2995.123857,860.203885,1052.10699,1068.397337,1266.210725,859.246155,2307.120578,2551.304144,2376.535165,3348.192576,2556.271154,2813.27505,2996.539312,2927.851564,1425.692395,1769.506694,2060.54355,1887.459841,1510.929753,2078.852476,1402.501067,1449.059656,1580.674718
Liaoning,969.999049,741.514693,281.716395,0.0,1811.868665,1539.832426,2357.726862,1513.247019,2899.03462,621.97118,792.812008,791.243583,1023.483202,601.056023,2039.823919,2276.209356,2121.213338,3137.546486,2276.138829,2532.245331,2715.221065,2658.702395,1153.30395,1487.92703,1778.877363,1607.430389,1230.462801,1808.517611,1130.092836,1189.877177,1313.729294
Gansu,940.08799,2353.495883,2030.581669,1811.868665,0.0,276.290487,628.474606,513.269716,1612.48504,1191.278257,1065.647383,1189.340152,807.769726,1234.346492,762.47236,1089.960745,597.546705,1326.937641,1697.963811,1533.942211,1894.324134,1225.016138,909.378105,1152.634064,1230.411439,1403.056239,1331.707493,1771.004999,1541.608991,1732.390207,1658.873137
Ningxia,669.235643,2078.410185,1755.030131,1539.832426,276.290487,0.0,850.467483,430.154818,1712.874933,921.463073,812.444777,955.87918,553.273651,971.267422,878.603716,1212.762168,782.736007,1597.742532,1723.574214,1639.985082,1980.17555,1420.601852,727.708802,1063.813752,1204.80332,1324.914856,1183.489096,1698.700094,1372.010543,1564.392285,1512.698967
Qinghai,1409.691985,2807.832826,2545.733632,2357.726862,628.474606,850.467483,0.0,1133.883932,1109.744622,1753.619848,1662.180194,1803.95394,1403.380905,1814.097662,1191.633301,1456.914874,942.492238,850.428854,2172.34661,1889.754628,2265.999803,1401.464047,1537.729986,1753.174594,1782.255238,1991.129461,1954.883039,2347.470506,2168.648389,2358.753624,2279.572213
Shaanxi,872.717789,2158.452086,1768.659434,1513.247019,513.269716,430.154818,1133.883932,0.0,2110.248098,912.201579,720.471738,776.414415,513.688522,912.481189,573.35417,882.496854,608.224683,1730.690626,1302.622795,1273.842495,1590.515984,1187.235834,434.148081,647.627511,774.925595,904.974285,821.001366,1277.733479,1037.563319,1226.22931,1146.588805
Xinjiang,1962.309639,3095.635141,2995.123857,2899.03462,1612.48504,1712.874933,1109.744622,2110.248098,0.0,2405.870364,2409.254284,2595.325499,2182.078745,2499.390679,2290.749953,2566.261117,2048.445955,1492.908486,3270.176138,2999.143338,3375.42385,2488.585436,2435.791363,2757.727097,2839.968514,3012.696865,2896.13728,3382.649741,3077.43531,3269.0462,3225.018406
Beijing,451.53583,1249.863325,860.203885,621.97118,1191.278257,921.463073,1753.619848,912.201579,2405.870364,0.0,224.418701,363.953797,406.036237,110.003361,1465.478149,1734.455919,1518.495021,2517.960521,1886.419072,2047.842972,2287.124157,2087.390744,622.606321,1055.28236,1338.196663,1249.984806,899.107927,1548.08135,925.494706,1074.359837,1126.57574
Hebei,531.685916,1461.829012,1052.10699,792.812008,1065.647383,812.444777,1662.180194,720.471738,2409.254284,224.418701,0.0,201.930688,259.315353,192.933531,1256.82638,1516.331865,1328.408341,2386.91388,1666.903824,1823.745047,2063.62825,1878.601658,398.552021,835.381703,1115.655861,1040.388844,705.595027,1354.82518,771.702052,940.693998,966.17489
Shandong,732.914096,1507.913721,1068.397337,791.243583,1189.340152,955.87918,1803.95394,776.414415,2595.325499,363.953797,201.930688,0.0,416.856125,273.821483,1259.649466,1485.205742,1369.009499,2491.344998,1545.009452,1751.447185,1961.974047,1873.496677,369.520022,721.972523,1012.482159,894.654559,535.987426,1184.229433,574.203642,739.435986,771.82787
Shanxi,445.52285,1645.460596,1266.210725,1023.483202,807.769726,553.273651,1403.380905,513.688522,2182.078745,406.036237,259.315353,416.856125,0.0,429.770471,1080.264021,1369.680853,1115.370808,2131.739708,1635.924781,1720.276887,1995.991163,1699.074724,358.921098,825.808609,1073.907643,1067.799149,795.777445,1417.843176,923.983699,1109.006074,1100.410845
Tianjin,554.672663,1273.454285,859.246155,601.056023,1234.346492,971.267422,1814.097662,912.481189,2499.390679,110.003361,192.933531,273.821483,429.770471,0.0,1448.854691,1703.563055,1520.643825,2560.279915,1814.557769,1998.750182,2224.669145,2070.35275,578.907696,986.612651,1274.150331,1168.123306,808.6599,1454.711889,821.429451,966.501145,1023.179758
Chongqing,1440.830991,2715.270833,2307.120578,2039.823919,762.47236,878.603716,1191.633301,573.35417,2290.749953,1465.478149,1256.82638,1259.649466,1080.264021,1448.854691,0.0,334.60893,259.819291,1489.806869,980.930134,772.570024,1132.27685,622.050931,890.373483,763.487481,654.999555,922.907014,1066.04631,1227.249803,1302.037234,1458.934815,1326.67741
