Province,rest
Beijing,-154476091.1666667
Shanghai,-121026996.0
Tianjin,-82666150.63333331
Chongqing,-54256462.79999998
Guizhou,215855576.4833334
Jiangxi,293588880.5
Jiangsu,365442329.33333325
Hunan,381297777.1333334
Shanxi,410886459.5
Ningxia,444179848.70000005
Yunnan,445687098.6333334
Hainan,565117272.08
Shaanxi,593743860.3
Anhui,625562300.7333335
Zhejiang,641648975.6666667
Hubei,646830905.7666667
Sichuan,696550812.6333334
Henan,708200259.8
Liaoning,713767695.6
Guangxi,796293874.0166664
Fujian,829085074.3
Shandong,988889027.6666665
Hebei,1000587820.0
Jilin,1259574511.5333333
Guangdong,1397768093.3333335
Heilongjiang,2194710403.8333335
Gansu,4648116550.1
Qinghai,6827114301.2
Tibet,7842886118.903333
Inner Mongolia,20588682316.1
Xinjiang,29987189054.1
