Province,rest
Beijing,0.0
Shanghai,0.0
Tianjin,0.0
Chongqing,0.0
Guizhou,2036373.363050315
Jiangxi,2769706.419811321
Jiangsu,3447569.1446540873
Hunan,3597148.8408805034
Shanxi,3876287.353773585
Ningxia,4190375.931132076
Yunnan,4204595.270125787
Hainan,5331295.019622642
Shaanxi,5601357.172641509
Anhui,5901531.138993712
Zhejiang,6053292.223270441
Hubei,6102178.356289308
Sichuan,6571234.0814465415
Henan,6681134.526415094
Liaoning,6733657.505660377
Guangxi,7512206.358647796
Fujian,7821557.304716981
Shandong,9329141.77044025
Hebei,9439507.735849056
Jilin,11882778.410691824
Guangdong,13186491.446540883
Heilongjiang,20704815.130503148
Gansu,43850156.13301887
Qinghai,64406738.69056603
Tibet,73989491.6877673
Inner Mongolia,194232852.03867924
Xinjiang,282898009.94433963
