,Inner Mongolia,Heilongjiang,Jilin,Liaoning,Gansu,Ningxia,Qinghai,Shaanxi,Xinjiang,Beijing,Hebei,Shandong,Shanxi,Tianjin,Chongqing,Guizhou,Sichuan,Tibet,Guangdong,Guangxi,Hainan,Yunnan,Henan,Hubei,Hunan,Jiangxi,Anhui,Fujian,Jiangsu,Shanghai,Zhejiang
Inner Mongolia,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8288642.852142775,13338570.956609443,35300292.95219315,14278206.940208178,8758615.621953107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25577273.891826272,19143803.226191126,23837902.96169299,20650611.912236493,21690236.222781777,15538312.962466294,64218771.29728411,9357708.159780623,37097536.034526795
Heilongjiang,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jilin,0.0,0,0.0,8582673.905985096,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7462790.756376913,0.0
Liaoning,0.0,0,-8582673.905985096,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gansu,0.0,0,0.0,0.0,0.0,0.0,0.0,9028602.891571268,0,0.0,0.0,0.0,0.0,0.0,17959196.433117554,8563214.364756882,0.0,0.0,40202449.50390439,3657662.8653227985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ningxia,0.0,0,0.0,0.0,0.0,0.0,0.0,3434253.031532473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qinghai,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18439969.428870454,0.0,0.0,655539.4413475264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaanxi,0.0,0,0.0,0.0,-9028602.891571268,-3434253.031532473,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinjiang,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beijing,-8288642.852142775,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
